pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.001,10.0,2.3016376954618267,73.37096408536004,58.85654034897887,54,31,17,43
-0.001,10.0,4.6196438771139,62.99076789611471,53.73156802663155,6,41,19,50
-0.001,10.0,4.867551991351267,56.5896068286785,54.62871968187827,30,36,19,32
-0.001,10.0,4.968745063127548,59.85512463801682,54.22827973402809,32,31,15,32
-0.001,10.0,3.6336132974114124,88.43325499262387,57.90476083436179,15,31,30,41
-0.001,10.0,3.9151100153617024,94.73482376463551,56.07241566140235,18,32,31,35
-0.001,10.0,2.5146550708173683,78.13320519604888,54.20879444007177,43,51,42,41
-0.001,10.0,4.968745063127548,59.88504125734341,54.22827973402809,32,26,17,32
-0.001,10.0,2.259508869773939,69.03034677242229,58.90900710761711,23,55,52,45
-0.001,10.0,3.592653486382468,87.31726444491525,53.973924470023626,15,31,30,41
-0.001,10.0,4.968745063127548,56.23910042000338,54.13921310088024,32,56,16,39
-0.001,10.0,2.63570763216486,63.002911927422744,54.5660102734121,22,7,8,35
-0.001,10.0,4.989666349647698,57.32810165303591,53.71598598106911,54,56,18,39
-0.001,10.0,2.084179592988265,74.30016930717886,59.2737476700259,23,36,19,43
-0.001,10.0,3.592653486382468,87.31726444491525,53.973924470023626,23,31,30,41
-0.001,10.0,2.403818078425906,77.0250494192078,59.27374847349862,24,35,25,43
-0.001,10.0,2.5204119904354925,51.99348814395347,59.48156160529524,23,36,52,45
-0.001,10.0,2.5146550708173683,51.634937803070045,53.78863740034605,43,51,42,41
-0.001,10.0,3.5734185728285865,85.43408531063729,56.152968721558324,15,10,12,43
-0.001,10.0,2.259508869773939,68.9581620957952,59.03473096014953,15,53,48,45
-0.001,10.0,2.731992587452047,63.98987975012934,59.66956414890596,48,5,31,47
-0.001,10.0,2.3200954770229303,73.37096408536004,59.87234198283666,54,31,24,43
-0.001,10.0,2.3023656613666117,62.1036317623616,58.896716912466566,29,55,52,40
-0.001,10.0,4.3249678907685105,59.06441655898107,59.851585162810764,15,13,53,31
-0.001,10.0,3.5844927022528403,52.96896590770752,54.17551623996579,2,4,30,30
-0.001,10.0,4.968745063127548,77.28191826764107,54.22827973402809,32,26,17,32
-0.001,10.0,2.836434571512818,96.43258138715163,53.82660322705097,15,30,4,41
-0.001,10.0,4.989666349647698,57.32810165303591,53.60734147991668,32,56,18,38
-0.001,10.0,2.0008565073582902,59.17761865918374,59.63730979371468,53,53,12,39
-0.001,10.0,2.8440201429868557,60.44847980411429,54.20879444007177,25,51,42,41
-0.001,10.0,2.3200954770229303,73.37096408536004,57.72983230463012,55,31,27,43
-0.001,10.0,2.6954920886686455,61.90919722946835,52.22890899753055,17,51,42,41
-0.946723734,296.95637468841903,3.5844927022528403,52.96896590770752,54.17551623996579,2,3,16,38
-0.001,10.0,2.2572211039110233,74.78980881397206,53.76045842408158,23,36,19,43
-0.001,10.0,2.5168261325483994,78.11339745933718,54.20879444007177,26,51,47,41
-0.001,10.0,2.302052371555015,73.37096408536004,57.72983230463012,54,28,27,43
-0.001,10.0,2.314004927750501,73.37096408536004,58.98639867297364,55,31,17,45
-0.001,10.0,3.1743220077179806,55.56940168989113,59.03387251041305,56,32,23,45
-0.001,10.0,4.968745063127548,59.94156730965932,53.73158217961199,39,57,30,30
-0.001,10.0,4.3249678907685105,58.98895486844362,59.851585162810764,15,13,53,31
-0.001,10.0,2.512394951057235,77.84535498710683,54.20879444007177,25,51,15,41
-0.999000617,322.36835523693657,4.2558464086035634,73.05342460379816,56.972848576180944,15,30,41,47
-0.001,10.0,2.314004927750501,73.38912369550079,58.68766669251476,56,26,17,45
-0.001,10.0,2.001953307589687,59.17761865918374,59.82388430141245,32,54,46,38
-0.001,10.0,2.6511547578868577,58.78653291803631,54.20658417029847,24,7,18,44
-0.001,10.0,3.5326628819734194,84.82775839971228,59.569700022751775,15,10,12,43
-0.001,10.0,4.940641664900037,78.60943839104426,54.608704715992474,2,52,18,31
-0.001,10.0,2.5168261325483994,73.16710619910229,54.20879444007177,26,51,47,41
-0.001,10.0,2.323738884313527,74.28200969703812,59.27395550205515,22,36,19,44
